DLsv,DLcv,DRcv,DRsv
28,30,76,70
21,23,126,123
84,88,32,29
9,10,111,108
63,66,55,52
4,4,104,100
18,20,49,46
18,20,103,99
71,74,49,46
99,103,30,27
5,5,142,139
71,74,51,48
4,5,129,125
106,110,24,22
18,20,84,81
43,45,58,56
14,15,67,64
34,36,33,30
10,11,58,55
54,57,12,11
6,7,96,93
4,5,84,80
49,52,37,34
39,41,25,23
45,49,34,30
52,55,28,26
5,5,152,148
123,127,30,28
39,42,16,15
101,105,31,29
7,8,61,58
78,82,31,27
100,104,9,7
4,5,91,87
10,10,116,112
9,10,123,119
14,16,117,113
68,72,61,58
6,6,234,230
61,64,54,51
46,49,69,66
4,0,103,100
7,8,94,90
4,5,149,145
66,69,85,81
7,8,161,158
66,68,102,99
126,129,41,38
158,161,9,9
30,32,137,133
5,6,92,88
32,36,62,58
52,54,45,42
5,6,205,201
39,41,171,168
122,127,58,52
39,41,147,144
132,135,52,49
7,8,178,174
4,4,182,178
98,101,141,138
40,42,199,195
7,8,94,91
61,63,39,37
16,19,101,98
86,89,32,31
9,10,45,41
45,49,6,4
4,5,87,83
9,10,105,101
9,10,125,121
4,5,133,129
10,10,114,111
10,10,204,200
7,8,126,122
9,10,95,91
90,93,12,11
61,63,1,3
4,5,55,51
44,48,136,132
45,49,124,120
151,155,18,16
9,10,75,71
9,10,160,156
100,103,67,64
10,12,59,56
4,4,103,100
5,5,60,57
75,79,33,30
18,20,48,45
9,10,87,83
38,40,45,42
69,72,13,11
34,36,52,50
45,48,102,99
84,87,63,60
9,10,91,87
6,7,159,155
16,17,86,82
9,10,71,68
68,72,1,6
12,13,76,73
124,130,29,25
73,77,39,34
107,109,9,9
26,28,52,48
59,61,118,115
104,108,70,67
56,60,41,38
34,36,67,64
39,42,77,74
12,14,103,99
5,5,67,63
38,41,32,30
42,45,37,34
70,74,52,48
45,47,17,16
6,7,151,147
54,57,101,97
28,31,75,72
8,9,92,89
10,11,128,124
21,24,19,17
41,44,70,67
4,4,110,106
4,4,101,97
80,84,21,19
9,9,180,177
56,59,73,69
98,102,30,27
22,25,1,6
25,27,101,98
57,60,70,67
38,40,107,104
36,39,69,66
5,5,56,53
23,26,63,58
80,83,9,9
7,8,76,73
9,10,77,74
26,29,58,55
34,37,1,6
26,29,105,100
65,68,69,67
52,55,87,84
64,67,1,4
61,64,5,3
9,10,62,58
97,100,59,56
59,64,88,84
10,12,143,140
23,25,256,253
114,118,1,4
112,115,5,3
39,42,16,15
40,42,58,55
57,59,140,137
15,16,52,50
23,25,126,123
125,129,21,19
56,59,28,25
34,37,121,117
7,8,153,149
4,5,98,94
20,24,79,75
80,83,22,20
88,92,1,4
86,89,5,3
9,10,112,108
22,24,99,96
14,16,105,101
116,120,1,4
114,117,5,3
9,10,147,143
97,100,58,55
22,24,139,135
36,39,34,30
7,8,167,163
9,10,106,102
7,8,210,206
10,11,102,98
25,28,42,37
9,10,115,111
68,71,16,16
9,10,135,131
70,73,73,70
22,25,85,82
149,153,29,26
9,10,155,151
41,44,73,69
55,58,59,56
7,8,172,168
77,80,14,14
9,10,112,108
41,44,78,74
64,67,80,76
98,102,45,42
33,37,118,114
14,16,139,136
125,129,93,90
18,20,124,120
45,49,57,55
7,8,134,130
4,5,93,89
9,10,149,146
83,86,73,71
127,130,96,93
42,46,48,44
49,52,42,40
9,10,110,107
82,85,22,20
26,29,88,85
7,8,83,79
20,21,70,67
142,146,8,7
9,10,96,92
7,8,47,44
9,10,152,149
9,10,143,139
7,8,61,57
66,69,102,98
26,27,146,143
9,10,85,81
44,49,1,6
33,38,108,102
59,63,106,102
38,42,74,71
156,159,27,24
56,58,57,53
10,10,105,101
25,29,86,82
39,42,32,30
10,10,63,59
9,11,172,169
43,46,33,31
5,5,183,180
34,38,101,97
134,138,1,4
130,134,5,4
36,39,26,24
32,35,30,28
83,87,16,14
9,10,114,111
142,145,36,33
5,5,126,122
70,74,57,54
9,10,81,77
107,110,91,88
5,5,92,88
7,8,165,161
48,51,122,119
7,7,20,19
148,152,74,70
27,32,70,65
84,88,16,15
102,105,7,6
40,45,103,97
73,76,75,72
37,40,110,107
5,5,230,226
123,127,68,65
25,27,169,166
5,5,190,187
72,77,64,60
40,41,103,100
89,92,28,26
13,14,76,73
109,113,54,51
117,121,46,42
138,142,25,23
6,7,140,136
36,41,117,111
88,91,70,67
7,8,157,153
118,122,43,39
9,10,83,79
41,44,61,58
90,93,63,60
5,5,151,147
125,129,27,25
5,5,135,132
69,72,75,71
9,10,121,117
67,70,61,57
80,84,54,51
59,64,93,88
7,9,42,39
8,8,118,114
147,150,12,10
10,11,97,93
30,33,18,14
55,58,103,100
2,3,243,239
101,104,142,139
189,193,53,50
6,7,96,92
71,74,122,118
20,22,193,189
44,47,169,166
145,148,67,64
4,4,157,153
10,10,102,99
13,16,96,93
7,8,209,205
39,41,176,173
21,23,95,92
67,70,47,45
5,5,146,143
55,59,99,93
4,1,159,155
5,5,93,89
31,35,63,59
33,36,112,108
91,95,53,49
135,138,9,8
46,49,86,83
84,87,48,45
7,8,33,31
5,5,120,116
108,112,13,11
4,5,200,196
40,44,161,157
7,8,76,72
5,5,82,79
9,10,55,52
21,22,130,125
7,8,176,172
120,123,61,58
7,8,101,98
49,53,78,74
95,99,32,30
36,39,91,87
74,78,52,50
42,44,86,84
66,70,95,91
22,25,55,51
9,10,126,122
85,89,78,75
111,116,24,20
4,4,37,35
7,8,112,108
17,21,71,68
15,18,75,72
5,5,90,87
9,10,129,125
5,5,83,80
45,48,40,37
61,64,76,73
113,116,24,22
58,60,12,10
50,52,32,29
55,58,26,24
48,51,51,47
26,28,79,75
4,5,78,74
39,42,41,39
104,108,12,11
37,40,119,116
108,111,48,45
112,114,44,41
43,46,58,55
65,68,36,33
8,9,145,141
72,74,66,63
5,5,100,97
49,53,114,110
7,8,60,56
44,47,21,18
6,8,99,96
22,24,83,80
17,20,39,36
25,27,98,95
57,61,1,4
55,58,5,3
78,82,29,28
62,65,58,55
36,39,83,80
58,62,62,57
79,82,45,43
3,2,82,79
6,8,94,90
32,35,81,78
9,10,144,140
25,28,126,122
9,10,85,81
52,54,43,41
42,45,118,113
135,139,13,11
4,5,59,56
47,49,15,13
5,5,174,170
9,10,95,91
9,10,91,88
25,26,63,60
72,77,38,34
7,8,109,105
37,39,78,75
9,10,154,150
48,51,113,109
121,125,39,37
23,25,1,6
20,22,54,51
7,9,20,18
6,7,74,70
7,8,93,90
40,42,59,56
9,10,93,89
35,37,67,64
63,66,37,33
75,79,24,20
149,153,27,25
3,4,79,76
13,15,107,103
8,11,112,108
31,35,88,85
24,27,54,51
112,115,44,41
6,7,67,64
8,9,93,90
34,36,12,10
39,41,45,42
7,9,75,71
21,25,59,56
46,49,59,56
33,35,50,49
83,86,37,34
83,86,34,31
147,150,78,74
68,71,11,10
25,26,55,53
76,80,55,51
92,94,7,6
98,101,5,4
20,23,91,87
17,19,95,92
78,81,9,7
65,67,51,48
4,5,107,103
16,19,93,91
16,18,69,65
45,49,38,36
103,107,41,37
135,139,9,8
6,8,140,137
66,69,46,42
88,92,23,21
46,50,80,77
9,10,139,135
64,66,83,80
113,117,32,29
21,24,125,121
4,5,134,130
102,105,34,32
45,47,92,88
126,130,9,7
46,48,5,4
86,88,5,4
148,151,41,39
18,19,113,110
144,148,20,18
79,81,19,16
110,114,11,9
45,48,117,114
5,7,83,80
56,59,86,83
45,47,173,169
94,98,122,118
65,67,47,44
69,71,110,108
11,13,149,146
73,76,22,20
14,15,111,107
38,42,84,80
70,74,52,50
90,93,61,58
27,30,1,6
37,41,62,56
